Marc Forgione,Pat Neely,McDonald's Paraguay,Juan Mari Arzak (Página oficial),Chef Carlo Cracco,Jumia Food,Christophe Michalak,Morton's The Steakhouse,Domino's Pizza,Lee Anne Wong,Burger King Malaysia,Seasons 52,Taco Bell El Salvador,Emmi CAFFÈ LATTE,Luna Grill,Chef Adrianne,Johnny Prep
Stephanie Izard,Ben Sargent & Dr. Klaw,Lío,"Mary Nolan, Bon Appétit Executive Chef",Simon Bryant,Chili's Grill & Bar,Valentin Neraudeau,T-rex Cafe,Magnum,Carl's Jr. NZ,Nando's,Eddie V's Prime Seafood,Dairy Queen,KFC,Zoёs Kitchen,Chef Jamie DeRosa,Skinny Chef
José Andrés,Chef Dana Cohen HK,McDonald's,Chope,Magnum,foodpanda,Guillaume Gomez,Dunkin' Donuts,Domino's Guatemala,KFC,Nando's,Olive Garden,Taco Bell,Emmi CAFFÈ LATTE,The Habit Burger Grill,,
Raymond Blanc,Nicko's Kitchen,McDonald's,Chope,Francesco Sole,Big Fernand,Amandine Chaignot,Dunkin' Donuts,Domino's Pizza,Madison Cowan,Nando's,Roy Yamaguchi,Taco Bell Panamá,Emmi CAFFÈ LATTE,Burger Lounge,,
Christina Tosi,George Pagonis,McDonald's,Delverde,Ignacio Mattos,Second Floor Cafe 貳樓餐飲,Thierry Rautureau,Dunkin' Donuts,Domino's Pizza,KFC,Nando's,Bonefish Grill,Taco Bell Kuwait,Emmi CAFFÈ LATTE,Puesto,,
'Wichcraft,Logan Junior Chef,Nutella Cafe Chicago,Gaston Acurio,Ernst Knam,Pescaria,Eckart Witzigmann,Charley's Crab,Domino's Pizza,KFC,Nando's,Carrabba's Italian Grill,Boston Market,Emmi CAFFÈ LATTE,,,
Chef Charlie Palmer,Tom Douglas Restaurants,McDonald's,Relais & Châteaux,Karen Martini,On The Border,Paul Bocuse,Peohe's,Domino's Pizza,KFC,Nando's,Wings,Taco Bell UK,,,,
Maria Loi,Claire Robinson,McDonald's Vietnam,Alex Atala,Chef Grace Ramirez,Jumia Food,Mathieu Pacaud,Grand Concourse,Domino's Pizza,KFC,foodpanda,Bahama Breeze Island Grille,Taco Bell Costa Rica,,,,
Dean Fearing,NishaMadhulika,McDonald's,Chef Lorena Garcia,Bruno Barbieri,Chevys Fresh Mex,Christophe Bacquie,Big Fish Seafood Bistro,Domino's Pizza,KFC,Nando's,Chef Sheldon Simeon,Pollo Campero El Salvador,,,,
Bradley Ogden,Spike Mendelsohn,McDonald's,Delverde,Shane Delia,KFC,KFC,La Griglia,KFC,KFC,foodpanda,Burger King Thailand,Taco Bell Cyprus,,,,
Angelo Sosa,Chef Rick Tramonto,McDonald's,Whataburger,Chef Hirohiko Shoda,Jumia Food,Taste of London,Lillie's Asian Cuisine,Domino's Pizza,KFC,Nando's PERi-PERi,FONDA MEXICANA,Taco Bell Guatemala,,,,
Tom Colicchio,Cindy Pawlcyn,McDonald's,Papacho's,Chef Jimmy Boswell,foodpanda,Princi,Ravintola Salve,Domino's Mx,KFC,Burger King Nederland,Olive Garden México,Taco Bell India,,,,
Michel Nischan,Magnum,McDonald's,Pablo Massey,Gary Mehigan,Jumia Food,YANNICK ALLENO OFFICIEL,Dunkin' Donuts,Domino's Pizza,Hardee's,Nando's,Yard House,タコベル ジャパン　Taco Bell Japan,,,,
Chef Shirley Chung,Sanjeev Kapoor,McDonald's,Cocina familiar con Javier Romero,Matt Moran,hellofood,Per Se,Dunkin' Donuts,Domino's Pizza Türkiye,KFC,Nando's,Red Lobster México,Taco Bell Rep Dom,,,,
Chef Robert Irvine,Chef Sam Talbot,McDonald's,Delverde,Chef Natale Giunta,Jumia Food,Bruno Ménard,Cadillac Bar Houston,Domino's Pizza,KFC,Burger King México,Outback Steakhouse,Telepizza Guatemala,,,,
Chef Ben Churchill,Russell Jackson,McDonald's,Crystal Jade Singapore,Cristian D'Elia,Hardee's Pakistan,Roxanne Spruance,Big Fish Seafood Bistro,Domino's Pizza,KFC,Nando's,Dick's Drive In Restaurant,Pollo Campero Guatemala,,,,
Maneet Chauhan,Famous Dave's Bar-B-Que of America,McDonald's,Donato De Santis,Peter Kuruvita,foodpanda / hellofood,Noëmie Honiat Top Chef,Dunkin' Coffee,Domino's Pizza,KFC,Nando's,Roy's Restaurant,,,,,
Bryce Shuman,Barbie Marshall,Hard Rock Cafe Ibiza,Ogro Jimmy,Mirko Ronzoni,Brew Bistro and Lounge,Éric Frechon,River Crab Blue Water Inn,Domino's Australia,KFC,Nando's,,,,,,
Chef Mary Sue Milliken,Chef Damaris Phillips,McDonald's,Taco Bell Careers,Manu Feildel,Chili's Beirut,The French Laundry,Four Seasons Hotels and Resorts,Domino's Pizza,KFC,Nando's,,,,,,
Roy Choi,Kirti Bhoutika,McDonald's,Delverde,Susur Lee,Chili's Tunisie,Thomas Keller,Meriwether's,Domino's Pizza,KFC,Nando's,,,,,,
Chef Maeve Rochford,Kunal Kapur,McDonald's,Bruno Oteiza,Massimo Mele,翠華餐廳 Tsui Wah Restaurant,Chef Guy Martin,Bubba Gump Shrimp Co.,Domino's Pizza Nigeria,KFC,Nando's,,,,,,
Chef Rick Moonen,Magnum,McDonald's,Diego Guerrero,Chef Pete Evans,Chili's México,Norbert Tarayre,Gandy Dancer Saloon/Oyster Bar,Magnum,KFC,,,,,,,
Chef G. Garvin,CAKE-BOY,McDonald's,Celler de Can Roca,Cuoco Filippo La Mantia,foodpanda,PROPERCORN,Cadillac Bar Kemah,Domino's Pizza,KFC,,,,,,,
Chef Cynthia Louise,משה שגב / Moshe Segev,McDonald's,RIBS - True American Barbecue,Christian Bau,Acapulco,Pierre Sang Boyer Officiel,Gandy Dancer,達美樂披薩,Carl's Jr.,,,,,,,
